date,tmax,tmin,tmed
01/1991,15.92,6.67,11.3
02/1991,14.97,6.5,10.74
03/1991,17.5,10.17,13.84
04/1991,19.33,10.42,14.87
05/1991,22.38,13.34,17.86
06/1991,27.17,17.33,22.25
07/1991,29.67,19.69,24.68
08/1991,29.27,19.9,24.58
09/1991,27.72,18.73,23.22
10/1991,21.9,12.57,17.24
11/1991,19.29,10.27,14.78
12/1991,17.38,8.85,13.12
01/1992,15.47,6.95,11.21
02/1992,17.01,7.41,12.21
03/1992,19.56,9.59,14.58
04/1992,21.85,11.76,16.81
05/1992,23.88,15.3,19.59
06/1992,23.04,15.17,19.11
07/1992,30.19,19.6,24.9
08/1992,29.47,19.37,24.42
09/1992,26.54,17.24,21.89
10/1992,21.4,13.29,17.34
11/1992,20.28,10.6,15.44
12/1992,16.98,10.17,13.58
01/1993,15.59,6.53,11.06
02/1993,17.05,9.09,13.07
03/1993,18.26,10.18,14.22
04/1993,19.51,10.18,14.84
05/1993,20.27,12.39,16.33
06/1993,24.9,16.39,20.65
07/1993,30.15,19.05,24.6
08/1993,27.56,18.38,22.97
09/1993,24.72,15.93,20.33
10/1993,20.76,12.94,16.85
11/1993,18.98,10.81,14.89
12/1993,17.68,8.55,13.11
01/1994,15.9,6.76,11.33
02/1994,16.59,7.76,12.17
03/1994,20.62,10.79,15.7
04/1994,21.18,11.03,16.11
05/1994,22.21,13.87,18.04
06/1994,28.05,17.81,22.93
07/1994,30.91,19.35,25.13
08/1994,28.77,18.81,23.79
09/1994,26.65,15.97,21.31
10/1994,23.53,15.99,19.76
11/1994,21.15,12.87,17.01
12/1994,18.28,9.82,14.05
01/1995,17.45,7.66,12.56
02/1995,18.64,9.88,14.26
03/1995,20.48,10.85,15.67
04/1995,21.95,12.35,17.15
05/1995,25.02,15.95,20.48
06/1995,24.93,16.74,20.84
07/1995,29.47,19.89,24.68
08/1995,29.69,20.12,24.9
09/1995,26.19,16.63,21.41
10/1995,24.61,16.86,20.74
11/1995,20.74,13.91,17.33
12/1995,17.38,11.27,14.33
01/1996,16.42,11.43,13.92
02/1996,15.53,7.54,11.53
03/1996,17.18,10.34,13.76
04/1996,20.37,12.33,16.35
05/1996,22.39,14,18.19
06/1996,27.5,18.24,22.87
07/1996,29.12,19.2,24.16
08/1996,27.78,17.49,22.64
09/1996,25.08,16.55,20.81
10/1996,23.13,14.14,18.63
11/1996,19.93,10.87,15.4
12/1996,17.22,10.62,13.92
01/1997,15.87,9.09,12.48
02/1997,19.24,10.01,14.62
03/1997,21.68,11.7,16.69
04/1997,22.27,13.73,18
05/1997,22.24,14.69,18.47
06/1997,24.99,16.32,20.65
07/1997,27.48,18.59,23.04
08/1997,28.24,19.31,23.78
09/1997,27.26,19,23.13
10/1997,24.66,17.42,21.04
11/1997,19.85,13.6,16.73
12/1997,17.66,9.98,13.82
01/1998,17.15,8.5,12.83
02/1998,17.82,11.35,14.59
03/1998,20.88,10.73,15.81
04/1998,20.46,10.95,15.7
05/1998,21.98,13.92,17.95
06/1998,27.13,17.5,22.31
07/1998,29.57,19.41,24.49
08/1998,29.56,19.77,24.66
09/1998,26.75,18.79,22.77
10/1998,23.57,13.5,18.54
11/1998,20.65,11.28,15.96
12/1998,16.98,6.59,11.79
01/1999,16.26,7.76,12.01
02/1999,16.7,6.73,11.72
03/1999,18.51,10.59,14.55
04/1999,21.63,12.86,17.25
05/1999,22.8,14.99,18.89
06/1999,26.44,17.62,22.03
07/1999,27.42,19.6,23.51
08/1999,27.89,18.87,23.38
09/1999,25.02,17.58,21.3
10/1999,22.71,16.26,19.49
11/1999,18.77,10.52,14.64
12/1999,16.93,10.26,13.59
01/2000,15.1,6.95,11.02
02/2000,19.22,9.78,14.5
03/2000,19.85,11.68,15.76
04/2000,18.26,11.54,14.9
05/2000,22.43,15.59,19.01
06/2000,27.32,18.45,22.89
07/2000,27.88,19.35,23.61
08/2000,28.85,20.29,24.57
09/2000,26.73,18.41,22.57
10/2000,22.69,14,18.34
11/2000,18.18,11.28,14.73
12/2000,17.08,11.04,14.06
01/2001,16.27,9.97,13.12
02/2001,17.61,9.75,13.68
03/2001,18.96,12.53,15.74
04/2001,21.8,13.08,17.44
05/2001,22.73,13.99,18.36
06/2001,28.84,18.11,23.48
07/2001,28.52,18.65,23.58
08/2001,28.1,19.32,23.71
09/2001,24.97,17.95,21.46
10/2001,22.98,16.59,19.79
11/2001,18.39,11.15,14.77
12/2001,15.81,9.57,12.69
01/2002,16.95,9.93,13.44
02/2002,18.11,9.2,13.66
03/2002,19.3,11.2,15.25
04/2002,21.19,12.47,16.83
05/2002,23.3,14.03,18.67
06/2002,25.95,17.28,21.61
07/2002,29.66,19.5,24.58
08/2002,26.73,18.33,22.53
09/2002,23.88,17.69,20.79
10/2002,22.73,16.4,19.57
11/2002,19.61,11.55,15.58
12/2002,17.62,10.87,14.25
01/2003,16.17,8.07,12.12
02/2003,16.07,7.92,11.99
03/2003,18.32,11.51,14.91
04/2003,19.26,12.34,15.8
05/2003,24.87,16.03,20.45
06/2003,27.83,19.05,23.44
07/2003,29.82,18.99,24.4
08/2003,30.51,21.33,25.92
09/2003,27.22,18.76,22.99
10/2003,22.44,16.06,19.25
11/2003,18.67,11.96,15.32
12/2003,16.06,8.87,12.46
01/2004,17.02,8.99,13.01
02/2004,16.62,9.5,13.06
03/2004,18.17,9.78,13.98
04/2004,20.47,11.42,15.95
