date,tmax,tmin,tmed
03/1938,20.2,8.4,14.3
04/1938,21.6,10.1,15.85
05/1938,22,10.8,16.4
06/1938,30.2,14.6,22.4
07/1938,31.5,14.8,23.15
08/1938,30.6,15.6,23.1
09/1938,24.9,13.7,19.3
10/1938,24,12.5,18.25
11/1938,19,10.5,14.75
12/1938,12.4,5.8,9.1
01/1939,13.6,7.1,10.35
02/1939,14.6,6.2,10.4
03/1939,16.7,6.1,11.4
04/1939,18.3,8,13.15
05/1939,23.4,11.3,17.35
06/1939,24.9,13.2,19.05
07/1939,30.9,15.6,23.25
08/1939,29.2,15.1,22.15
09/1939,27.6,16,21.8
10/1939,19.7,11.9,15.8
11/1939,16.7,8.3,12.5
12/1939,13.5,7,10.25
01/1940,12.6,5.7,9.15
02/1940,15.3,7.8,11.55
03/1940,18.2,9.8,14
04/1940,20.2,9.6,14.9
05/1940,21.7,11.1,16.4
06/1940,27,13.9,20.45
07/1940,31.5,14.6,23.05
08/1940,33.7,17.5,25.6
09/1940,22.3,15,18.65
10/1940,19.7,11.4,15.55
11/1940,16,8.4,12.2
12/1940,12.1,3.8,7.95
01/1941,10.7,4.9,7.8
02/1941,13.3,6.9,10.1
03/1941,15,7.5,11.25
04/1941,16.9,9.4,13.15
05/1941,19.9,10.2,15.05
06/1941,28.3,15,21.65
07/1941,31,17.2,24.1
08/1941,32.9,17,24.95
09/1941,29.6,17.6,23.6
10/1941,25.8,14.4,20.1
11/1941,15.3,8.3,11.8
12/1941,12.3,4.1,8.2
01/1942,11.8,4.7,8.25
02/1942,13.2,4.3,8.75
03/1942,15.9,9,12.45
04/1942,17.4,9.3,13.35
05/1942,22.6,11.4,17
06/1942,27.9,14.8,21.35
07/1942,32.2,16,24.1
08/1942,32.4,15.7,24.05
09/1942,28,15.2,21.6
10/1942,23.1,14,18.55
11/1942,17,9.2,13.1
12/1942,14,7.4,10.7
01/1943,14,7.7,10.85
02/1943,15.1,5.8,10.45
03/1943,16.8,8,12.4
04/1943,22.3,11.4,16.85
05/1943,26.1,12,19.05
06/1943,32.2,15.8,24
07/1943,30.5,15.9,23.2
08/1943,34.1,17.8,25.95
09/1943,25.9,14,19.95
10/1943,21.5,12.6,17.05
11/1943,16.4,7.1,11.75
12/1943,13,5.9,9.45
01/1944,14.3,5.3,9.8
02/1944,14.7,3.9,9.3
03/1944,18,7.1,12.55
04/1944,21.7,11.1,16.4
05/1944,26.4,13,19.7
06/1944,28.9,16.5,22.7
07/1944,31.9,16.2,24.05
08/1944,30.6,16.7,23.65
09/1944,29,16.1,22.55
10/1944,20.7,10.7,15.7
11/1944,17,8.9,12.95
12/1944,12.7,5.1,8.9
01/1945,10,2.7,6.35
02/1945,16.6,6.4,11.5
03/1945,21.7,8.2,14.95
04/1945,25.5,12.5,19
05/1945,24.6,11.9,18.25
06/1945,30.7,15.7,23.2
07/1945,31.8,15.7,23.75
08/1945,30.1,15,22.55
09/1945,30.6,15.4,23
10/1945,24.5,14.7,19.6
11/1945,18.5,11.6,15.05
12/1945,14.5,7.7,11.1
01/1946,12.1,4.1,8.1
02/1946,16.4,6.3,11.35
03/1946,16,7.3,11.65
04/1946,18.2,9.5,13.85
05/1946,18.6,10.1,14.35
06/1946,28.6,13.3,20.95
07/1946,34,17.5,25.75
08/1946,31,15.3,23.15
09/1946,29,15.2,22.1
10/1946,23.4,13.3,18.35
11/1946,17.2,8.6,12.9
12/1946,12.6,5,8.8
01/1947,12.6,4.8,8.7
02/1947,14.1,7.3,10.7
03/1947,17,8.8,12.9
04/1947,22.9,10.4,16.65
05/1947,23.7,10.9,17.3
06/1947,29.9,13.4,21.65
07/1947,33.5,15.7,24.6
08/1947,32.5,16.6,24.55
09/1947,29.3,15.6,22.45
10/1947,25.4,13.6,19.5
11/1947,22.8,11.2,17
12/1947,14.7,4.9,9.8
01/1948,15.1,6.6,10.85
02/1948,17.3,7.8,12.55
03/1948,21,9.9,15.45
04/1948,19.2,8.4,13.8
05/1948,20.7,10.7,15.7
06/1948,30.1,14.1,22.1
07/1948,32.8,14.6,23.7
08/1948,33,15.8,24.4
09/1948,31.7,15.8,23.75
10/1948,24.7,13.1,18.9
11/1948,21.4,10.3,15.85
12/1948,16.4,7.7,12.05
01/1949,15.6,5.2,10.4
02/1949,18.6,7,12.8
03/1949,18.4,7.3,12.85
04/1949,23.9,11.4,17.65
05/1949,24,10.4,17.2
06/1949,29.3,14.3,21.8
07/1949,33.7,16.9,25.3
08/1949,35.2,17.7,26.45
09/1949,27.2,15.3,21.25
10/1949,25.1,13.1,19.1
11/1949,19.2,9.5,14.35
12/1949,14,5.9,9.95
01/1950,13.9,4.9,9.4
02/1950,16.2,6.2,11.2
03/1950,18.5,7.4,12.95
04/1950,21.2,8.2,14.7
05/1950,22.7,10.4,16.55
06/1950,28.4,14,21.2
07/1950,33.9,15.4,24.65
08/1950,32.3,14.5,23.4
10/1950,25.3,12.3,18.8
11/1950,19.9,9.8,14.85
12/1950,13,4.4,8.7
01/1951,13.7,5,9.35
02/1951,13.2,4.9,9.05
03/1951,17.5,6.9,12.2
04/1951,20.5,8.2,14.35
05/1951,20.7,8.6,14.65
06/1951,30.1,13.7,21.9
07/1951,31.4,14.9,23.15
08/1951,31.6,14.3,22.95
09/1951,30.2,14.9,22.55
10/1951,22.6,10.9,16.75
11/1951,16.5,8.3,12.4
12/1951,15.2,6.9,11.05
01/1952,12.7,2.9,7.8
02/1952,14.7,5,9.85
03/1952,19.4,8.8,14.1
04/1952,19.6,8.1,13.85
05/1952,22.3,10.9,16.6
06/1952,27.6,14.8,21.2
07/1952,31.4,15.2,23.3
08/1952,30.8,14.6,22.7
09/1952,27.5,13.2,20.35
10/1952,24.1,12.8,18.45
11/1952,19.6,8.5,14.05
12/1952,14.9,6.1,10.5
01/1953,13.5,4,8.75
02/1953,14.9,4.7,9.8
03/1953,18.1,6.9,12.5
04/1953,19.8,9.4,14.6
05/1953,27.4,12.4,19.9
06/1953,27.8,12.5,20.15
07/1953,33.4,14.8,24.1
08/1953,35,17.2,26.1
09/1953,30.1,15.3,22.7
10/1953,22.5,12.2,17.35
11/1953,19.4,9.7,14.55
12/1953,15.5,7.9,11.7
01/1954,11.9,3,7.45
02/1954,13.4,4.4,8.9
03/1954,16,7.5,11.75
04/1954,19.5,8.4,13.95
05/1954,25.5,11.7,18.6
06/1954,28,12.7,20.35
07/1954,33.9,15.6,24.75
08/1954,30.5,15.1,22.8
09/1954,30.7,15.3,23
10/1954,26.9,14.8,20.85
11/1954,19.2,11.3,15.25
12/1954,15.5,6.4,10.95
01/1955,15.5,9.1,12.3
02/1955,15.8,6.8,11.3
03/1955,16.3,7.2,11.75
04/1955,23.7,11.3,17.5
05/1955,26.9,12.7,19.8
06/1955,29.9,15.1,22.5
07/1955,32,15.1,23.55
08/1955,33.3,17,25.15
09/1955,31,16.7,23.85
10/1955,24,13.3,18.65
11/1955,17.5,10,13.75
12/1955,16.1,8,12.05
01/1956,14.1,6.4,10.25
02/1956,10.6,1.4,6
03/1956,16.6,7.5,12.05
04/1956,17.9,8.9,13.4
05/1956,24.1,11,17.55
06/1956,29.4,13.4,21.4
07/1956,31.5,14.2,22.85
08/1956,30.4,14.4,22.4
09/1956,27,13.7,20.35
10/1956,23.8,12.8,18.3
11/1956,15.9,5.5,10.7
12/1956,14.6,4.2,9.4
01/1957,12.9,2.9,7.9
02/1957,15.8,6.3,11.05
03/1957,18.6,8.5,13.55
04/1957,19.2,6.9,13.05
05/1957,23.1,9.4,16.25
06/1957,27.6,12.3,19.95
